image_id,image_url,page_url,source,date_of_event,city,crowd_level,kite_presence
IMG001,https://dailytimes.com.pk/assets/uploads/2026/02/01/Basant-2026-Lahore.jpg,https://dailytimes.com.pk/1447097/two-injured-as-basant-festivities-resume-in-lahore-after-18-years/,Daily Times,8/2/2026,Lahore,low,yes
IMG002,https://static.pakwheels.com/2026/02/69826c47691bd.jpg,https://www.pakwheels.com/blog/basant-2026-lahore-road-safety-advisory-police-traffic-free-transport/,Pak Wheels,6/2/2026,Lahore,low,likely
IMG003,https://d2udx5iz3h7s4h.cloudfront.net/2026/2/5/AP/image/Pakistan_Basant_Festival_96331.jpg?width=1440&format=webp&quality=80,https://www.trtworld.com/article/6ecaf4b2120d,TrtWorld,6/2/2026,Lahore,low,yes
IMG004,https://www.geo.tv/assets/uploads/updates/2026-02-09/649807_1662372_updates.jpg,https://www.geo.tv/latest/649807-basant-concludes-in-lahore-after-three-days-of-celebrations-and-festivity#google_vignette,Geo News,8/2/2026,Lahore,low,likely
IMG005,https://www.arabnews.pk/sites/default/files/pictures/February/2999496/2026/basant_2s.jpg,https://www.arabnews.pk/node/2631923/pakistan,Arab News,6/2/2026,Lahore,low,yes
IMG006,https://i.dawn.com/primary/2025/12/29150929761be5f.gif,https://www.dawn.com/news/1963923,Dawn News,6/2/2026,Rawalpindi,medium,likely
IMG007,https://i.dawn.com/primary/2026/02/698f7f4b5374d.jpg,https://www.dawn.com/news/1973042,Dawn News,8/2/2026,Rawalpindi,medium,likely
IMG008,https://i.tribune.com.pk/media/images/basant1767122888-0/basant1767122888-0-640x480.webp,https://tribune.com.pk/story/2590824/kite-association-defies-ban-on-basant-in-rawalpindi,Express Tribune,6/2/2026,Rawalpindi,medium,yes
IMG009,https://www.aljazeera.com/wp-content/uploads/2026/02/AP26036492836381-1770408683.jpg?resize=770%2C513&quality=80,https://www.aljazeera.com/features/2026/2/7/how-basant-became-lahores-signature-festival-in-pakistan,Al Jazeera,7/2/2026,Lahore,low,likely
IMG010,https://www.aljazeera.com/wp-content/uploads/2026/02/AP26037621614416-1770408823.jpg?w=770&resize=770%2C513&quality=80,https://www.aljazeera.com/features/2026/2/7/how-basant-became-lahores-signature-festival-in-pakistan,Al Jazeera,6/2/2026,Lahore,low,likely
IMG011,https://media.assettype.com/gulfnews%2F2026-02-06%2Fngs1d5a2%2Fnewsml_afp_com_20260206T132100Z_doc_96ej2ah.jpeg?w=640&auto=format%2Ccompress&fit=max,https://gulfnews.com/world/asia/pakistan/basant-the-sky-belongs-to-lahore-again-1.500435883,Gulf News,8/2/2026,Lahore,low,likely
IMG012,https://dims.apnews.com/dims4/default/2fa8aae/2147483647/strip/true/crop/7686x5124+0+0/resize/2880x1920!/format/webp/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Ff6%2Fb9%2Fced7cb701c51bcfa2d102fc34649%2F8e403a5d39014001998c71d6174a0ded,https://apnews.com/article/pakistan-lahore-basant-festival-begins-kite-flying-59cd53ac8a990d6be24823cad45ef720,Ap News,6/2/2026,Lahore,low,likely
IMG013,https://img.dunyanews.tv/news/2026/February/02-04-26/news_big_images/933519_89446767.jpg,https://dunyanews.tv/en/Pakistan/933519-lahore-high-court-orders-safety-measures-for-basant-festival-2026,Duniya News,7/2/2026,Lahore,low,likely
IMG014,https://dims.apnews.com/dims4/default/6b170e4/2147483647/strip/true/crop/7243x4829+0+0/resize/2720x1814!/format/webp/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F0b%2Fb0%2F3534eafcee5c304a91694fa2ca6c%2Fabf494705c664971bafb981b71fa2fe6,https://apnews.com/article/pakistan-lahore-basant-festival-begins-kite-flying-59cd53ac8a990d6be24823cad45ef720,Ap News,6/2/2026,Lahore,low,likely
IMG015,https://www.geo.tv/assets/uploads/updates/2026-02-06/649272_4374149_updates.jpeg,https://www.geo.tv/latest/649272-basant-returns-to-lahore-after-19-years-as-kites-rise-again-under-strict-curbs,Geo News,7/2/2026,Lahore,low,likely
