platform,date,city,url,caption,hashtags,hashtag_count,sentiment_score,sentiment_label,social_volume_day,in_analysis_window
Facebook,2026-01-06,Lahore,https://www.facebook.com/share/v/1aRyTKGMCo/,LAHORE BASANT STOCK PACKING FOR COMING SOON BASANT 2026,#basant2026,1,0.0,neutral,1,False
Instagram,2026-02-02,Lahore,https://www.instagram.com/reel/DUOl_szDFNV/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Lahore on Basant is not just a festival its a whole emotion ????,#basant #lahore #foryou #trend #reel,5,1.0,positive,1,False
Twitter,2026-02-03,Lahore,https://x.com/pid_gov/status/basant-pmd-weather,"Mainly dry weather with clear skies is expected on 6th and 7th February, while dry weather with few cloudy conditions on 8th February, 2026 in Lahore during the Basant 2026.","#basant2026,#lahore,#pmd",3,0.0,neutral,1,False
Facebook,2026-02-05,Lahore,https://www.facebook.com/share/p/1CmFDfxtWg/,"Basant 2026 has transformed Lahore into a prime destination for international tourists, with all hotels fully booked in anticipation of the festival.",#basant2026 #lahore #tourism #internationaltourists #hotelsbooked #travelpakistan #culturalfestival,7,1.0,positive,2,False
Facebook,2026-02-05,Lahore,https://www.facebook.com/share/v/1FUDBxTjTb/,Basant Festival Lahore 2026,#pakistan #foryou? #lahore #beautiful #viral #top #basant2026 #trendingreel #beauty #festival mera pakistan ???? ???????,10,1.0,positive,2,False
Facebook,2026-02-06,Lahore,https://www.facebook.com/share/r/1CLKHf3H8y/,Lahore Basant,#basant2026 #basantfestival #openingday #openingceremony #basant #lahore #festival,7,0.0,neutral,7,True
Instagram,2026-02-06,Lahore,https://www.instagram.com/reel/DUbLJeziKkH/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Basant at FCCU,#basant #lahore #basantlahore #fypreels?? #foryoupage,5,0.0,neutral,7,True
Twitter,2026-02-06,Lahore,https://x.com/pmln_org/status/2000433645291819500,"After 25 years, Basant returns to Lahore! The city of lights and colors will once again celebrate joy, culture, and tradition. 6-8 February 2026. A vibrant revival of Punjab's heritage, safe, festive, and full of life.","#basant2026,#lahore,#punjab",3,1.0,positive,7,True
Twitter,2026-02-06,Lahore,https://x.com/Marriyum_A/status/basant-revival,"CM Punjab Maryam Nawaz has approved the revival of our beloved Heritage Basant Festival on February 6th, 7th and 8th, celebrated across Lahore after 25 years, a tradition rooted in history and admired worldwide.","#basant2026,#lahore,#maryamnawaz",3,0.7143,positive,7,True
Facebook,2026-02-06,Lahore,https://www.facebook.com/expressnewspk/posts/1401192575370065,Basant 2026 returns to Lahore after years - kite flying allowed with strict safety measures.,"#basant2026,#lahore,#expressnews",3,0.5,positive,7,True
Facebook,2026-02-06,Lahore,https://www.facebook.com/paa.gov.pk/posts/122185286930543514,"Important Public Notice Basant Festival 2026 - in line with aviation safety requirements, kite flying near airports is strictly prohibited.","#basant2026,#aviationsafety,#lahore",3,0.2,positive,7,True
Facebook,2026-02-06,Lahore,https://www.facebook.com/p/Basant-Festival-In-Rawalpindi-m-100063725512499,"Lahore's iconic Basant Festival is officially returning on Feb 6-8, 2026 - marking the revival of one of the city's most vibrant cultural traditions.","#basant2026,#lahore,#basantfestival",3,0.7778,positive,7,True
Instagram,2026-02-07,Lahore,https://www.instagram.com/reel/DUWUdKOiOiZ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Lahore Basant 2026,#trending #lahore #foryou #explore #viral,5,0.0,neutral,2,True
